"case_id","clients","dimension","ring_dim","block_count","noise","seed","repetition","status","encoded_plaintext_diff_linf","encoded_plaintext_mismatch_count","decoded_or_wire_mismatches","protocol_abort_count","total_ms","total_bytes","peak_rss_kb","wrapper_elapsed_seconds","result_file"
"c10_d32769_b2_dgg32_s2025_r004","10","32769","16384","2","dgg32","2025","4","PASS","0","0","0","0","625.777","46144384","63160","0.884043","results/formal_v8/multiblock_scaling_paper/c10_d32769_b2_dgg32_s2025_r004.json"
"c10_d32769_b2_dgg32_s2025_r005","10","32769","16384","2","dgg32","2025","5","PASS","0","0","0","0","644.381","46144384","63160","0.892017","results/formal_v8/multiblock_scaling_paper/c10_d32769_b2_dgg32_s2025_r005.json"
"c10_d32769_b2_dgg32_s2026_r001","10","32769","16384","2","dgg32","2026","1","PASS","0","0","0","0","661.279","46144384","63024","0.90957","results/formal_v8/multiblock_scaling_paper/c10_d32769_b2_dgg32_s2026_r001.json"
"c10_d32769_b2_dgg32_s2026_r002","10","32769","16384","2","dgg32","2026","2","PASS","0","0","0","0","638.264","46144384","63160","0.910709","results/formal_v8/multiblock_scaling_paper/c10_d32769_b2_dgg32_s2026_r002.json"
"c10_d32769_b2_dgg32_s2026_r003","10","32769","16384","2","dgg32","2026","3","PASS","0","0","0","0","670.494","46144384","63160","0.930878","results/formal_v8/multiblock_scaling_paper/c10_d32769_b2_dgg32_s2026_r003.json"
"c10_d32769_b2_dgg32_s2026_r004","10","32769","16384","2","dgg32","2026","4","PASS","0","0","0","0","627.219","46144384","63152","0.891064","results/formal_v8/multiblock_scaling_paper/c10_d32769_b2_dgg32_s2026_r004.json"
"c10_d32769_b2_dgg32_s2026_r005","10","32769","16384","2","dgg32","2026","5","PASS","0","0","0","0","630.009","46144384","63164","0.875591","results/formal_v8/multiblock_scaling_paper/c10_d32769_b2_dgg32_s2026_r005.json"
"c30_d32769_b2_dgg32_s2024_r001","30","32769","16384","2","dgg32","2024","1","PASS","0","0","0","0","1826.233","130043264","168372","2.07181","results/formal_v8/multiblock_scaling_paper/c30_d32769_b2_dgg32_s2024_r001.json"
"c30_d32769_b2_dgg32_s2024_r002","30","32769","16384","2","dgg32","2024","2","PASS","0","0","0","0","1852.518","130043264","168372","2.118535","results/formal_v8/multiblock_scaling_paper/c30_d32769_b2_dgg32_s2024_r002.json"
"c30_d32769_b2_dgg32_s2024_r003","30","32769","16384","2","dgg32","2024","3","PASS","0","0","0","0","1794.647","130043264","168368","2.035476","results/formal_v8/multiblock_scaling_paper/c30_d32769_b2_dgg32_s2024_r003.json"
