"case_id","clients","dimension","noise","seed","repetition","status","encoded_plaintext_diff_linf","encoded_plaintext_mismatch_count","q_domain_diff_linf","q_domain_mismatch_count","total_ms","total_bytes","wrapper_elapsed_seconds","result_file"
"c30_d784_dgg32_s2025_r004","30","784","dgg32","2025","4","PASS","0","0","0","0","1332.44","65021632","1.489424","results/formal_v8/scalability/retry1/c30_d784_dgg32_s2025_r004.json"
"c30_d784_dgg32_s2025_r005","30","784","dgg32","2025","5","PASS","0","0","0","0","1406.87","65021632","1.560909","results/formal_v8/scalability/retry1/c30_d784_dgg32_s2025_r005.json"
"c30_d784_dgg32_s2026_r001","30","784","dgg32","2026","1","PASS","0","0","0","0","1177.86","65021632","1.349432","results/formal_v8/scalability/retry1/c30_d784_dgg32_s2026_r001.json"
"c30_d784_dgg32_s2026_r002","30","784","dgg32","2026","2","PASS","0","0","0","0","1289.11","65021632","1.42426","results/formal_v8/scalability/retry1/c30_d784_dgg32_s2026_r002.json"
"c30_d784_dgg32_s2026_r003","30","784","dgg32","2026","3","PASS","0","0","0","0","1272.02","65021632","1.411813","results/formal_v8/scalability/retry1/c30_d784_dgg32_s2026_r003.json"
"c30_d784_dgg32_s2026_r004","30","784","dgg32","2026","4","PASS","0","0","0","0","1197.3","65021632","1.348102","results/formal_v8/scalability/retry1/c30_d784_dgg32_s2026_r004.json"
"c30_d784_dgg32_s2026_r005","30","784","dgg32","2026","5","PASS","0","0","0","0","1332.48","65021632","1.492413","results/formal_v8/scalability/retry1/c30_d784_dgg32_s2026_r005.json"
"c50_d784_dgg32_s2024_r001","50","784","dgg32","2024","1","PASS","0","0","0","0","2245.09","106971072","2.416475","results/formal_v8/scalability/retry1/c50_d784_dgg32_s2024_r001.json"
"c50_d784_dgg32_s2024_r002","50","784","dgg32","2024","2","PASS","0","0","0","0","2229.87","106971072","2.404195","results/formal_v8/scalability/retry1/c50_d784_dgg32_s2024_r002.json"
"c50_d784_dgg32_s2024_r003","50","784","dgg32","2024","3","PASS","0","0","0","0","2348.61","106971072","2.532285","results/formal_v8/scalability/retry1/c50_d784_dgg32_s2024_r003.json"
"c50_d784_dgg32_s2024_r004","50","784","dgg32","2024","4","PASS","0","0","0","0","2244.55","106971072","2.40878","results/formal_v8/scalability/retry1/c50_d784_dgg32_s2024_r004.json"
"c50_d784_dgg32_s2024_r005","50","784","dgg32","2024","5","PASS","0","0","0","0","2427.75","106971072","2.601074","results/formal_v8/scalability/retry1/c50_d784_dgg32_s2024_r005.json"
"c50_d784_dgg32_s2025_r001","50","784","dgg32","2025","1","PASS","0","0","0","0","2201.49","106971072","2.366","results/formal_v8/scalability/retry1/c50_d784_dgg32_s2025_r001.json"
"c50_d784_dgg32_s2025_r002","50","784","dgg32","2025","2","PASS","0","0","0","0","1933.18","106971072","2.097279","results/formal_v8/scalability/retry1/c50_d784_dgg32_s2025_r002.json"
"c50_d784_dgg32_s2025_r003","50","784","dgg32","2025","3","PASS","0","0","0","0","2045.34","106971072","2.203025","results/formal_v8/scalability/retry1/c50_d784_dgg32_s2025_r003.json"
"c50_d784_dgg32_s2025_r004","50","784","dgg32","2025","4","PASS","0","0","0","0","1952.41","106971072","2.102688","results/formal_v8/scalability/retry1/c50_d784_dgg32_s2025_r004.json"
"c50_d784_dgg32_s2025_r005","50","784","dgg32","2025","5","PASS","0","0","0","0","2057.78","106971072","2.203435","results/formal_v8/scalability/retry1/c50_d784_dgg32_s2025_r005.json"
"c50_d784_dgg32_s2026_r001","50","784","dgg32","2026","1","PASS","0","0","0","0","2149.72","106971072","2.300682","results/formal_v8/scalability/retry1/c50_d784_dgg32_s2026_r001.json"
"c50_d784_dgg32_s2026_r002","50","784","dgg32","2026","2","PASS","0","0","0","0","2021.01","106971072","2.190048","results/formal_v8/scalability/retry1/c50_d784_dgg32_s2026_r002.json"
