"case_id","variant","clients","dimension","seed","repetition","status","encoded_plaintext_diff_linf","encoded_plaintext_mismatch_count","q_domain_diff_linf","q_domain_mismatch_count","total_ms","client_upload_bytes","path_to_cs_bytes","total_bytes","legacy_total_wire_bytes","wrapper_elapsed_seconds","result_file"
"plain_aggregate_c40_d784_s2026_r001","plain_aggregate","40","784","2026","1","PASS","0","0","0","0","0.185064","0","0","0","0","0.117638","results/formal_v8/controlled_baselines/plain_aggregate_c40_d784_s2026_r001.json"
"plain_aggregate_c40_d784_s2026_r002","plain_aggregate","40","784","2026","2","PASS","0","0","0","0","0.21547","0","0","0","0","0.125163","results/formal_v8/controlled_baselines/plain_aggregate_c40_d784_s2026_r002.json"
"plain_aggregate_c40_d784_s2026_r003","plain_aggregate","40","784","2026","3","PASS","0","0","0","0","0.218147","0","0","0","0","0.115426","results/formal_v8/controlled_baselines/plain_aggregate_c40_d784_s2026_r003.json"
"plain_aggregate_c40_d784_s2026_r004","plain_aggregate","40","784","2026","4","PASS","0","0","0","0","0.195999","0","0","0","0","0.120049","results/formal_v8/controlled_baselines/plain_aggregate_c40_d784_s2026_r004.json"
"plain_aggregate_c40_d784_s2026_r005","plain_aggregate","40","784","2026","5","PASS","0","0","0","0","0.202145","0","0","0","0","0.111848","results/formal_v8/controlled_baselines/plain_aggregate_c40_d784_s2026_r005.json"
"plain_aggregate_c50_d784_s2024_r001","plain_aggregate","50","784","2024","1","PASS","0","0","0","0","0.218721","0","0","0","0","0.120491","results/formal_v8/controlled_baselines/plain_aggregate_c50_d784_s2024_r001.json"
"plain_aggregate_c50_d784_s2024_r002","plain_aggregate","50","784","2024","2","PASS","0","0","0","0","0.282398","0","0","0","0","0.13304","results/formal_v8/controlled_baselines/plain_aggregate_c50_d784_s2024_r002.json"
"plain_aggregate_c50_d784_s2024_r003","plain_aggregate","50","784","2024","3","PASS","0","0","0","0","0.229872","0","0","0","0","0.13555","results/formal_v8/controlled_baselines/plain_aggregate_c50_d784_s2024_r003.json"
"plain_aggregate_c50_d784_s2024_r004","plain_aggregate","50","784","2024","4","PASS","0","0","0","0","0.21252","0","0","0","0","0.131529","results/formal_v8/controlled_baselines/plain_aggregate_c50_d784_s2024_r004.json"
"plain_aggregate_c50_d784_s2024_r005","plain_aggregate","50","784","2024","5","PASS","0","0","0","0","0.240158","0","0","0","0","0.125444","results/formal_v8/controlled_baselines/plain_aggregate_c50_d784_s2024_r005.json"
"plain_aggregate_c50_d784_s2025_r001","plain_aggregate","50","784","2025","1","PASS","0","0","0","0","0.230508","0","0","0","0","0.119867","results/formal_v8/controlled_baselines/plain_aggregate_c50_d784_s2025_r001.json"
"plain_aggregate_c50_d784_s2025_r002","plain_aggregate","50","784","2025","2","PASS","0","0","0","0","0.400671","0","0","0","0","0.11419","results/formal_v8/controlled_baselines/plain_aggregate_c50_d784_s2025_r002.json"
"plain_aggregate_c50_d784_s2025_r003","plain_aggregate","50","784","2025","3","PASS","0","0","0","0","0.218373","0","0","0","0","0.112706","results/formal_v8/controlled_baselines/plain_aggregate_c50_d784_s2025_r003.json"
"plain_aggregate_c50_d784_s2025_r004","plain_aggregate","50","784","2025","4","PASS","0","0","0","0","0.216548","0","0","0","0","0.110816","results/formal_v8/controlled_baselines/plain_aggregate_c50_d784_s2025_r004.json"
"plain_aggregate_c50_d784_s2025_r005","plain_aggregate","50","784","2025","5","PASS","0","0","0","0","0.221698","0","0","0","0","0.116458","results/formal_v8/controlled_baselines/plain_aggregate_c50_d784_s2025_r005.json"
"plain_aggregate_c50_d784_s2026_r001","plain_aggregate","50","784","2026","1","PASS","0","0","0","0","0.241261","0","0","0","0","0.120231","results/formal_v8/controlled_baselines/plain_aggregate_c50_d784_s2026_r001.json"
"plain_aggregate_c50_d784_s2026_r002","plain_aggregate","50","784","2026","2","PASS","0","0","0","0","0.212724","0","0","0","0","0.12216","results/formal_v8/controlled_baselines/plain_aggregate_c50_d784_s2026_r002.json"
"plain_aggregate_c50_d784_s2026_r003","plain_aggregate","50","784","2026","3","PASS","0","0","0","0","0.235331","0","0","0","0","0.126502","results/formal_v8/controlled_baselines/plain_aggregate_c50_d784_s2026_r003.json"
"plain_aggregate_c50_d784_s2026_r004","plain_aggregate","50","784","2026","4","PASS","0","0","0","0","0.219029","0","0","0","0","0.124084","results/formal_v8/controlled_baselines/plain_aggregate_c50_d784_s2026_r004.json"
"plain_aggregate_c50_d784_s2026_r005","plain_aggregate","50","784","2026","5","PASS","0","0","0","0","0.228614","0","0","0","0","0.114273","results/formal_v8/controlled_baselines/plain_aggregate_c50_d784_s2026_r005.json"
"shamir_shuffle_proxy_c10_d784_s2024_r001","shamir_shuffle_proxy","10","784","2024","1","PASS","0","0",,,"0.64437","125920","125920","251840",,"0.124247","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c10_d784_s2024_r001.json"
"shamir_shuffle_proxy_c10_d784_s2024_r002","shamir_shuffle_proxy","10","784","2024","2","PASS","0","0",,,"0.634353","125920","125920","251840",,"0.126332","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c10_d784_s2024_r002.json"
"shamir_shuffle_proxy_c10_d784_s2024_r003","shamir_shuffle_proxy","10","784","2024","3","PASS","0","0",,,"0.605949","125920","125920","251840",,"0.13874","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c10_d784_s2024_r003.json"
"shamir_shuffle_proxy_c10_d784_s2024_r004","shamir_shuffle_proxy","10","784","2024","4","PASS","0","0",,,"0.715243","125920","125920","251840",,"0.132644","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c10_d784_s2024_r004.json"
"shamir_shuffle_proxy_c10_d784_s2024_r005","shamir_shuffle_proxy","10","784","2024","5","PASS","0","0",,,"0.612414","125920","125920","251840",,"0.136939","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c10_d784_s2024_r005.json"
"shamir_shuffle_proxy_c10_d784_s2025_r001","shamir_shuffle_proxy","10","784","2025","1","PASS","0","0",,,"0.610419","125920","125920","251840",,"0.130412","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c10_d784_s2025_r001.json"
"shamir_shuffle_proxy_c10_d784_s2025_r002","shamir_shuffle_proxy","10","784","2025","2","PASS","0","0",,,"0.625558","125920","125920","251840",,"0.124314","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c10_d784_s2025_r002.json"
"shamir_shuffle_proxy_c10_d784_s2025_r003","shamir_shuffle_proxy","10","784","2025","3","PASS","0","0",,,"0.615327","125920","125920","251840",,"0.117835","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c10_d784_s2025_r003.json"
"shamir_shuffle_proxy_c10_d784_s2025_r004","shamir_shuffle_proxy","10","784","2025","4","PASS","0","0",,,"0.602369","125920","125920","251840",,"0.119014","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c10_d784_s2025_r004.json"
"shamir_shuffle_proxy_c10_d784_s2025_r005","shamir_shuffle_proxy","10","784","2025","5","PASS","0","0",,,"0.600743","125920","125920","251840",,"0.123014","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c10_d784_s2025_r005.json"
"shamir_shuffle_proxy_c10_d784_s2026_r001","shamir_shuffle_proxy","10","784","2026","1","PASS","0","0",,,"0.826799","125920","125920","251840",,"0.133743","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c10_d784_s2026_r001.json"
"shamir_shuffle_proxy_c10_d784_s2026_r002","shamir_shuffle_proxy","10","784","2026","2","PASS","0","0",,,"0.648481","125920","125920","251840",,"0.117973","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c10_d784_s2026_r002.json"
"shamir_shuffle_proxy_c10_d784_s2026_r003","shamir_shuffle_proxy","10","784","2026","3","PASS","0","0",,,"0.601517","125920","125920","251840",,"0.130764","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c10_d784_s2026_r003.json"
"shamir_shuffle_proxy_c10_d784_s2026_r004","shamir_shuffle_proxy","10","784","2026","4","PASS","0","0",,,"1.13144","125920","125920","251840",,"0.129447","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c10_d784_s2026_r004.json"
"shamir_shuffle_proxy_c10_d784_s2026_r005","shamir_shuffle_proxy","10","784","2026","5","PASS","0","0",,,"0.581804","125920","125920","251840",,"0.109519","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c10_d784_s2026_r005.json"
"shamir_shuffle_proxy_c20_d784_s2024_r001","shamir_shuffle_proxy","20","784","2024","1","PASS","0","0",,,"1.13515","251840","251840","503680",,"0.113211","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c20_d784_s2024_r001.json"
